study_id,study_label,grouping,time_h,conc_ngml,sd_ngml,n,dose_mg,prandial,is_control
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,121.5,5.8411,4.0355,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,122.0,6.1983,3.7663,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,123.0,3.9451,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,124.0,3.049,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,125.0,2.1528,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,126.0,1.8526,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,127.0,1.6539,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,128.0,1.4679,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,130.0,1.1847,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,132.0,1.0664,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,120.0,1.5102,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,120.5,9.9204,9.523,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,120.75,10.137,10.3305,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,121.0,9.1489,8.232,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,121.5,6.64,5.3804,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,122.0,5.3486,3.9277,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,123.0,3.9198,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,124.0,2.9348,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,125.0,2.1908,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,126.0,1.8906,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,127.0,1.6665,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,128.0,1.4679,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,130.0,1.1847,,18,10.0,unknown,True
16009,Blychert 1990,Study I-10mg-PO IR tablet-market,132.0,1.0663,,18,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,120.0,0.4094,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,120.25,0.7931,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,120.33,1.2024,1.0901,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,120.67,7.7018,4.8232,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,121.0,6.9595,3.5016,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,121.5,5.6882,2.2134,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,122.0,4.8178,1.817,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,123.0,3.3415,1.5857,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,124.0,2.2063,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,126.0,1.2837,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,128.0,0.8985,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,130.0,0.7094,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,132.0,0.5715,,15,10.0,unknown,True
16010,Blychert 1990,Study II-10mg-PO IR tablet-market,144.0,0.3668,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,120.33,0.7504,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,120.67,1.0402,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,121.0,1.4237,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,121.5,1.6963,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,122.0,1.9689,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,123.0,2.3776,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,124.0,2.0954,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,126.0,1.8125,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,128.0,1.4699,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,130.0,1.2979,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,132.0,1.2112,,15,10.0,unknown,True
16011,Blychert 1990,Study II-10mg-PO ER tablet-trial,144.0,0.7762,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,120.33,0.8101,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,121.0,1.6626,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,121.5,2.0034,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,122.0,2.3613,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,123.0,2.6932,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,124.0,2.3087,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,126.0,1.8978,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,128.0,1.4529,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,130.0,1.2894,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,132.0,1.1259,,15,10.0,unknown,True
16012,Blychert 1990,Study II-10mg-PO ER tablet-market,144.0,0.7335,,15,10.0,unknown,True
16014,Bailey 2003,10mg-PO ER tablet,0.0,0.0,,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,0.5,0.1493,,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,1.0,0.2986,,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,1.5,1.2238,0.533,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,2.0,1.4507,0.7368,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,2.5,2.1486,1.5206,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,3.0,2.2924,1.693,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,4.0,2.0257,1.3951,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,5.0,2.3298,1.3951,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,6.0,1.1763,0.8622,8,10.0,fasted,True
16014,Bailey 2003,10mg-PO ER tablet,8.0,0.7149,,8,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,0.5,0.1278,,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,1.0,0.4487,0.3468,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,1.5,0.7625,0.6689,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,2.0,0.9905,0.8175,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,2.5,1.0969,0.768,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,3.0,1.4893,0.9661,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,4.0,1.4875,0.9414,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,5.0,1.9935,1.4864,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,6.0,1.4554,1.8827,12,10.0,fasted,True
16015,Bailey 2000,10mg-PO ER tablet,8.0,0.9082,1.1891,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,0.5,0.1352,0.8374,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,1.0,1.5298,,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,1.5,2.2376,2.0715,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,2.0,2.5765,1.9392,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,2.5,3.6278,2.4677,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,3.0,3.3049,2.1155,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,4.0,3.0408,2.027,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,5.0,2.5602,1.2781,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,6.0,1.4307,0.8806,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,8.0,1.0427,,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,10.0,1.0236,,12,10.0,fasted,True
16016,Bailey 1998,10mg-PO ER tablet,12.0,0.8654,0.573,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,0.5,0.8016,,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,1.0,3.6339,4.8749,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,1.5,4.4355,4.0727,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,2.0,6.11,,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,2.5,6.4484,3.6407,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,3.0,4.8987,2.2832,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,4.0,3.0461,1.8512,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,6.0,1.8348,,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,8.0,1.1044,,12,10.0,fasted,True
16017,Guo 2007 ,10mg-PO ER tablet,12.0,0.9797,,12,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,0.0,0.0,,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,0.5,0.2884,0.4602,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,1.0,0.7657,0.8811,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,1.5,0.9183,0.6364,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,2.0,1.0325,0.6266,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,2.5,1.1467,0.6265,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,3.0,1.2993,0.6267,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,4.0,1.7609,0.8712,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,5.0,1.6468,0.6364,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,6.0,1.1077,0.372,11,10.0,fasted,True
16018,Dresser 2002,10mg-PO ER tablet,8.0,0.7203,0.3819,11,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,96.0,2.5935,1.0698,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,96.5,6.2419,4.0112,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,97.0,7.9369,5.7203,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,97.5,8.2602,3.9415,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,98.0,5.7463,1.9765,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,99.0,4.4624,2.3255,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,100.0,4.0042,1.9881,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,102.0,2.7039,1.2789,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,104.0,2.3339,1.2789,8,10.0,fasted,True
16019,Smith 1987,10mg-PO IR tablet,108.0,1.5818,1.0582,8,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,0.5,0.1889,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,1.0,0.9158,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,1.5,1.031,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,2.0,1.3396,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,2.5,1.6117,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,3.0,1.8315,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,4.0,1.5235,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,5.0,1.8743,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,6.0,1.3728,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,8.0,1.1018,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,10.0,0.9145,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,12.0,0.6906,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,24.0,0.0266,,12,10.0,fasted,True
16020,Madsen 1996,10mg-PO ER tablet,48.0,-0.01,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,0.5,0.4376,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,1.0,1.4216,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,1.5,1.8046,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,2.0,1.9235,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,2.5,2.0242,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,3.0,2.2069,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,3.5,2.4259,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,4.0,2.3992,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,4.5,2.5272,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,5.0,2.0998,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,6.0,1.6547,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,8.0,1.2926,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,10.0,1.0399,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,12.0,0.8144,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,14.0,0.6982,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,24.0,0.3449,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,312.0,0.8924,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,312.5,1.1934,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,313.0,2.1318,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,313.5,2.6878,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,314.0,3.0253,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,314.5,3.1988,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,315.0,3.5909,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,315.5,3.4549,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,316.0,3.2187,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,316.5,3.547,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,317.0,3.1287,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,318.0,2.6381,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,320.0,2.0393,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,322.0,1.5589,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,324.0,1.2424,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,326.0,1.1444,,12,10.0,fasted,True
16021,Lundahl 1998,10mg-PO ER tablet,336.0,0.7274,,12,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,0.0,0.164,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,0.5,0.2508,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,1.0,0.9405,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,1.5,1.0997,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,2.0,1.6785,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,2.5,2.1125,0.8736,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,3.0,2.1994,0.9059,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,3.5,2.2428,0.9706,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,4.0,2.3296,,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,5.0,2.1752,0.3343,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,6.0,1.717,0.3559,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,7.0,1.3601,0.2804,5,10.0,fasted,True
16022,Dresser 2017,10mg-PO ER tablet,8.0,1.3457,0.3559,5,10.0,fasted,True
16023,Bailey 1995,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16023,Bailey 1995,10mg-PO ER tablet,0.5,0.1126,,12,10.0,fasted,True
16023,Bailey 1995,10mg-PO ER tablet,1.0,1.3459,,12,10.0,fasted,True
16023,Bailey 1995,10mg-PO ER tablet,1.5,2.1999,,12,10.0,fasted,True
