patient,scenario,best_change_pct,final_change_pct,change_wk9_pct,erk_rebound_72h,time_nadir_d,ttp_d,G_fb,k_GEF_basal,k_bind,rho_grow,rho_kill,tau_R,k_Z_up,alpha_Z,beta_Z,Z_0,f_block
33,nsclc_mono,-96.79436621124788,-96.79436621124788,-73.6403045730045,47.01808058992029,180.0,,0.7753147551683838,0.025195670552200497,0.10160156687228505,0.0003135290626830197,0.004140323022165423,44.507389249526014,0.00826070677799058,1.7373960338424599,0.39998645890472645,0.03533954790462138,0.0
34,nsclc_mono,-2.5583267346271032,397.51135553221576,226.32861097089952,103.63172363887693,2.6666666666666665,24.0,0.6549238676031106,0.029012126356858514,0.14531041317175583,0.0003454858425554297,0.0037743267059461806,31.96982437224065,0.004664998929961409,1.4960485220112574,2.164038510558086,0.23531367277205678,0.0
35,nsclc_mono,-0.32864122040909827,184.85501110082816,50.623325986104376,100.82335831811695,2.0,30.666666666666668,1.881800294110531,0.01763537301410217,0.13962248687560955,0.0002082991787077451,0.0044917936522193445,24.283010726582237,0.007713378271074674,6.1143826432738395,1.2908196790104456,0.4606525714598526,0.0
36,nsclc_mono,-17.971257012362642,-13.478418166180973,-17.686264513566464,66.8305690425196,78.0,,1.957368852398443,0.030319723914172838,0.21060036883078745,0.000750824173502358,0.0039263655275657535,31.467807800521776,0.0011638256076436661,5.497883657027041,0.6522821837385334,0.5127363502258824,0.0
37,nsclc_mono,-1.3575292752293522,191.82211498832365,54.43551750690345,80.7678010263164,2.0,29.333333333333332,3.3621742995762136,0.020306964478482927,0.12983972947942005,0.000701235906642867,0.002573154650991305,29.701505085176947,0.007050691494994971,9.55052927244042,0.6343831251339745,0.07016466382646946,0.0
38,nsclc_mono,-99.04013204130162,-99.04013204130162,-95.01488027074134,32.96141685906057,180.0,,0.4869593703053623,0.029925065443277072,0.11785589754542695,0.0003728546379210967,0.01218147268421291,31.827223604670436,0.0013918806034606105,6.762691879601845,0.736444449554279,0.004358427169550013,0.0
39,nsclc_mono,-89.54409921798754,-89.54409921798754,-59.24624037641972,30.375052522943243,180.0,,0.33441287839856965,0.037175015800887376,0.22181468989071987,0.0006444141741816248,0.002844313308137738,39.27145331098975,0.0036937811744786396,2.313076296666007,0.33003404356407307,0.3114027963683705,0.0
40,nsclc_mono,-60.38285688556487,-60.38285688556487,-44.135789209947696,47.464798627720846,180.0,,0.8972672269799127,0.01734212412251308,0.11802349862152982,0.00041455143744759435,0.004078977293857364,35.244804153388515,0.0032475023092492995,4.215292740361271,0.6382735800804481,0.08489850557627764,0.0
41,nsclc_mono,-5.896422037853943,399.31138330278264,241.945426483668,76.23456903584812,5.0,26.333333333333332,1.4713673120488269,0.027580573207748076,0.12320461844801667,0.0005679330682594802,0.0019421250764642209,32.78290805086083,0.0034849496365210223,1.636967871242519,1.8823816126929607,0.06234183535312904,0.0
42,nsclc_mono,-8.45059533762279,347.5031030786047,104.92569396931333,83.26487003405187,6.0,27.333333333333332,2.2364626742302334,0.016415238527339927,0.13543511976416095,0.0005800494782749126,0.003238836125571803,33.515519666875036,0.006859795769282179,1.4056187590260327,1.1438612046332366,0.13052254226614043,0.0
43,nsclc_mono,-1.9857286831174825,396.64508230805467,209.2419713336658,94.64576390072848,3.0,24.333333333333332,1.3899599884966893,0.02711238559568581,0.13995678065177114,0.0006106698591757392,0.00842086032990995,41.7996910532803,0.0031464325960017772,4.598441659628352,1.5982673441551238,0.3841274870733308,0.0
44,nsclc_mono,-90.20014115831484,-90.20014115831484,-62.74505622049173,64.25641229303064,180.0,,1.6058160626548739,0.020889179737762394,0.07563522066556695,0.0004478704908225944,0.0031207646571639355,34.7317989914173,0.004824738231889794,1.1168888520598206,0.3957848121886095,0.030662090046591976,0.0
45,nsclc_mono,-30.60334896612591,-29.33766117923293,-30.322176502541087,66.00000565932757,84.0,,1.8372604318199504,0.0273559651704293,0.07268285465738818,0.0003250444331665305,0.002903424584647843,41.6985537663213,0.002224303266102221,4.701650475374726,0.5807135468532992,0.018490527444775518,0.0
46,nsclc_mono,0.0,46.1817147099685,11.107006306335055,63.612959355976585,0.0,94.66666666666667,1.0472529259656653,0.03013140010870738,0.10989200572523002,0.0005132523264201601,0.0016407027644803427,26.738169610060908,0.0022652568007194658,7.343896382005024,0.5237907236425858,0.5442224365836044,0.0
47,nsclc_mono,-99.98656848721032,-99.98656848721032,-96.8418238230683,36.0343743387565,180.0,,0.31910365102429245,0.028585737703617414,0.10385645533245524,0.000675014463223576,0.00871330525890675,22.69477636554009,0.0027224441888679405,2.0252462165088443,0.2422274524077872,0.358616331037295,0.0
48,nsclc_mono,-70.54629277651307,-70.28036145751233,-62.30482886334641,69.92374044530263,154.0,,2.543698900722758,0.033894005009417284,0.13750769107185054,0.00021418121072302025,0.002622939640424532,27.844777568587013,0.0007512481129834611,1.792728911169049,1.0497843887713567,0.09801498688475031,0.0
49,nsclc_mono,-20.404241248289757,-18.53827424347,-20.254955933867038,53.673591436021525,48.0,,0.9625524077069485,0.022032696276135945,0.15629538622744737,0.00047582768389054994,0.004035180996572256,33.19066429363548,0.004375302013477648,4.990617373054977,0.7076303763568711,0.19483694419157052,0.0
50,nsclc_mono,-32.14718154701731,399.95527881418786,172.59304958519067,60.83614458354136,12.0,33.333333333333336,2.0106419551568186,0.015078428992328946,0.14291634402418504,0.0005313147569667725,0.004645745719416227,59.5556948085027,0.0012614138306327027,3.6304418444752367,2.8836467479644523,8.946850716784572e-05,0.0
51,nsclc_mono,-31.676276006004567,-31.676276006004567,-22.771428678525073,37.53699798489903,180.0,,0.49838107132208154,0.022809826595481666,0.11253060054507143,0.0009640462937552892,0.0014614714685323286,38.39355609478952,0.0034970452285855605,1.6867008755635726,0.40668914786510707,0.13227237995747063,0.0
52,nsclc_mono,-82.98909574853536,-82.98909574853536,-54.56613820399663,38.43764806411627,180.0,,0.6006492947724993,0.019659273415438754,0.1913377543335451,0.0006815144269607827,0.005760432206491411,34.40882724814924,0.006310175508282126,4.816450415684776,0.4871248912493986,0.08016974015912968,0.0
53,nsclc_mono,-20.347310234866313,-20.347310234866313,-13.74256467562608,53.752047825969164,180.0,,0.821756564541609,0.01956815584540104,0.18091297965650432,0.00047174489681615174,0.0022341939314711287,44.678021190571656,0.006051467359773577,3.071130748959554,0.6421947772739788,0.31070069382683546,0.0
54,nsclc_mono,-38.163965237101706,398.5962271294754,123.78085342129208,71.22271180202654,11.0,32.333333333333336,1.4339807823815742,0.03553861068067896,0.11285073776479967,0.0005942924568113983,0.007432128175823402,34.702257563804,0.0018181130775929073,2.198830078375719,2.0055068757819505,0.09043368296386031,0.0
55,nsclc_mono,-17.265582556906047,279.1831073093316,31.760614893148855,36.10550206226326,18.0,41.333333333333336,0.6971620125474457,0.02692454072846319,0.2177717312013621,0.0005497647840131528,0.0017656751545810998,39.45021163879021,0.0022412774517089995,3.011308135592328,1.2013719967345344,0.0026190007284022797,0.0
56,nsclc_mono,-31.106034293651252,108.83197261085628,-4.2516981397451525,63.885823327709716,18.0,46.0,0.8104376425425719,0.02568384507889493,0.16437987411356816,0.0006185717488964928,0.0053432411904215165,39.49586558357598,0.006127354052431915,1.260086709208337,0.8926599428259845,0.26305751184074994,0.0
57,nsclc_mono,-99.76463192096557,-99.76463192096557,-92.73204985731668,29.099293936064807,180.0,,0.4113890146139781,0.021434302990647282,0.1150320532156524,0.0006166321533462328,0.005188315729155304,59.674976376798774,0.002403870809362118,1.3715223623012074,0.4172014514891292,0.0302527184207356,0.0
58,nsclc_mono,-14.06735470813879,-14.06735470813879,-7.7761927120600705,69.69964206415752,180.0,,1.6431300944868863,0.04307736340646479,0.06301695762818955,0.0002860400651072005,0.002201423383627963,32.02672015183075,0.004564707966396341,6.972627558348847,0.228171436492676,0.39360887116462884,0.0
59,nsclc_mono,-46.35864703087189,-46.35864703087189,-28.92884690959603,61.29515472564341,180.0,,1.9299399161296333,0.034970048529469895,0.10745408746337967,0.0003015918438220477,0.0033764171566894874,51.73211308593301,0.004946947197875099,5.308091175401417,0.4564557156349679,0.0055637003691955235,0.0
60,nsclc_mono,-66.29800497752156,-66.29800497752156,-43.24125056238314,69.64267276517418,180.0,,1.2203992331509217,0.026744168936772283,0.14702815558321744,0.0002919818983131088,0.009909418017498402,47.0529994287207,0.009126945006678171,4.281919733007759,0.7921366129431704,0.2563062747666412,0.0
61,nsclc_mono,-1.5901627339605096,387.150772772134,150.70228944438804,72.64582186447092,4.0,25.333333333333332,1.7349483338733869,0.02354345306911999,0.098607596504316,0.001145710680078591,0.0036898905817983507,33.08956364116986,0.00326782141533782,8.502612693640227,0.9574251410885507,0.1835514088900866,0.0
62,nsclc_mono,-6.803397428209712,222.00922445424305,40.9697098764229,70.67859666245771,11.0,40.333333333333336,1.6373581986465078,0.01593293746214528,0.13397335921826084,0.0007380542250233061,0.0032958378645274234,28.99996605609765,0.0033381648161075884,3.8087086418997362,0.8756240207560599,0.2952566670878993,0.0
63,nsclc_mono,-78.97264950127862,-78.97264950127862,-59.81446592326094,48.66411965206884,180.0,,0.8808830949834957,0.033303578401668824,0.23106347531272736,0.0010910200919214655,0.0075169617572267144,24.61326479681257,0.006469128916065165,2.5860000456290155,0.7044168674773733,0.05707474815373412,0.0
64,nsclc_mono,-99.98656977265608,-99.98656977265608,-98.63575450854302,48.3721265569168,180.0,,1.365834719514801,0.020077501380149243,0.1515540382905199,0.0005335755513205327,0.007805724824090049,21.012374051120876,0.0012133172345657735,1.3374072097415293,0.6126800671658146,0.027443715425552632,0.0
65,nsclc_mono,-11.063046771784446,359.1569307205022,104.749401593005,78.66964411242876,6.0,27.333333333333332,2.453442701561833,0.02763010300425553,0.1359744555485124,0.0004586532463316943,0.0038593316299212702,53.566703655334024,0.004746608747312664,3.499515892177235,1.3976663068233819,0.042020364705938285,0.0
66,nsclc_mono,-51.931025976022774,-51.931025976022774,-39.63176306636246,53.424774395025395,180.0,,1.230415512382175,0.026394245692446822,0.1236528704177865,0.00024035894512308055,0.0036380061464861245,28.494143933799243,0.0026789051165578555,5.196600099449483,0.6976676720844633,0.06004240077604778,0.0
67,nsclc_mono,-1.1102230246251565e-14,340.3076139743026,116.32348192330358,93.10925973451995,0.0,21.333333333333332,0.8131834456404687,0.0382383499418187,0.08028991279285978,0.000537308419553049,0.003821661769335181,33.55654720916666,0.008073178050718851,4.866981816005732,1.051275830814415,0.4820279529031252,0.0
