study_id,study_label,reference,grouping,n,dose_mg,n_timepoints,time_range_h,data_type,fasted_fed
16523,Mueller 2006,https://pubmed.ncbi.nlm.nih.gov/16341856/,Midazolam with hyperforin (group: Hypericum powder type A 1.8 g/day),7,7.5,9,312.5-318.0,Aggregated,fasted
16524,Mueller 2006,https://pubmed.ncbi.nlm.nih.gov/16341856/,Midazolam without hyperforin (group: Hypericum powder type A 1.2 g/day),7,7.5,10,0.2-6.0,Aggregated,fasted
16525,Mueller 2006,https://pubmed.ncbi.nlm.nih.gov/16341856/,Midazolam with hyperforin (group: Hypericum powder type A 1.2 g/day),7,7.5,10,312.2-318.0,Aggregated,fasted
16526,Mueller 2006,https://pubmed.ncbi.nlm.nih.gov/16341856/,Midazolam without hyperforin (group: Hypericum powder type A 0.6 g/day),7,7.5,11,0.2-8.0,Aggregated,fasted
16527,Mueller 2006,https://pubmed.ncbi.nlm.nih.gov/16341856/,Midazolam with hyperforin (group: Hypericum powder type A 0.6 g/day),7,7.5,11,312.2-320.0,Aggregated,fasted
16647,Zahner 2019,https://pubmed.ncbi.nlm.nih.gov/30739325/,Control day 1,20,1.0,14,0.2-16.0,Aggregated,
16648,Zahner 2020,https://pubmed.ncbi.nlm.nih.gov/30739325/,day 8,20,1.0,15,168.2-184.0,Aggregated,
16649,Zahner 2021,https://pubmed.ncbi.nlm.nih.gov/30739325/,day 17,20,1.0,15,384.2-400.0,Aggregated,
17153,Sauer 2004,https://pubmed.ncbi.nlm.nih.gov/14610241/,ATO-MID-Control_day6,8,5.0,7,0.2-5.5,Aggregated,
17154,Sauer 2004,https://pubmed.ncbi.nlm.nih.gov/14610241/,ATO-MID-DDI_day6,8,,8,120.8-128.0,Aggregated,
17155,Sauer 2004,https://pubmed.ncbi.nlm.nih.gov/14610241/,ATO-MID-Control_day12,8,5.0,7,0.2-5.5,Aggregated,
17156,Sauer 2004,https://pubmed.ncbi.nlm.nih.gov/14610241/,ATO-MID-DDI_day12,8,,7,264.8-270.0,Aggregated,
