formulation,time_min,pct_dissolved
micronized,118.0,22.918969605749144
micronized,119.0,22.918969605749144
micronized,120.0,22.918969605749144
reference,0.0,0.0
reference,1.0,2.8207962591691262
reference,2.0,5.224641776050156
reference,3.0,7.288624863547666
reference,4.0,9.072145792663132
reference,5.0,10.621760533476628
reference,6.0,11.974502560838447
reference,7.0,13.160215983404324
reference,8.0,14.203228976432749
reference,9.0,15.123576549447224
reference,10.0,15.93790895807514
reference,11.0,16.66017671897849
reference,12.0,17.302154187453542
reference,13.0,17.873844692585532
reference,14.0,18.3837975690948
reference,15.0,18.8393588232518
reference,16.0,19.246871225539874
reference,17.0,19.611835451225442
reference,18.0,19.939040921500798
reference,19.0,20.232672858050275
reference,20.0,20.49640050294142
reference,21.0,20.733450304422743
reference,22.0,20.94666701126488
reference,23.0,21.138564972811107
reference,24.0,21.31137145192809
reference,25.0,21.467063382981127
reference,26.0,21.607398717586044
reference,27.0,21.733943275972987
reference,28.0,21.84809384575234
reference,29.0,21.951098131165423
reference,30.0,22.044072045924107
reference,31.0,22.12801475502062
reference,32.0,22.20382180051647
reference,33.0,22.272296589556287
reference,34.0,22.334160476825424
reference,35.0,22.39006163615918
reference,36.0,22.440582885291516
reference,37.0,22.4862486024535
reference,38.0,22.52753085263683
reference,39.0,22.564854823988924
reference,40.0,22.598603660339172
reference,41.0,22.62912276374152
reference,42.0,22.656723630732646
reference,43.0,22.681687277406404
reference,44.0,22.704267301118836
reference,45.0,22.724692620440116
reference,46.0,22.74316992967892
reference,47.0,22.759885899771938
reference,48.0,22.77500915343491
reference,49.0,22.788692039111506
reference,50.0,22.801072225349113
reference,51.0,22.812274134708282
reference,52.0,22.82241023411723
reference,53.0,22.83158219666721
reference,54.0,22.839881948168482
reference,55.0,22.847392610316625
reference,56.0,22.85418935102646
reference,57.0,22.86034015135216
reference,58.0,22.865906497406673
reference,59.0,22.870944004804123
reference,60.0,22.87550298236042
reference,61.0,22.879628941087695
reference,62.0,22.883363053895565
reference,63.0,22.886742570858267
reference,64.0,22.88980119441238
reference,65.0,22.892569418408716
reference,66.0,22.895074834547415
reference,67.0,22.897342409372467
reference,68.0,22.899394734685547
reference,69.0,22.90125225395569
reference,70.0,22.902933467046953
reference,71.0,22.904455115357667
reference,72.0,22.905832349259764
reference,73.0,22.90707887954193
reference,74.0,22.908207114394312
reference,75.0,22.90922828332288
reference,76.0,22.910152549247044
reference,77.0,22.91098910991253
reference,78.0,22.911746289642327
reference,79.0,22.912431622349615
reference,80.0,22.913051926647913
reference,81.0,22.913613373812947
reference,82.0,22.91412154927866
reference,83.0,22.914581508283966
reference,84.0,22.914997826227946
reference,85.0,22.915374644237822
reference,86.0,22.915715710405543
reference,87.0,22.9160244171055
reference,88.0,22.916303834766417
reference,89.0,22.9165567424347
reference,90.0,22.916785655434563
reference,91.0,22.91699285040098
reference,92.0,22.9171803879353
reference,93.0,22.917350133109444
reference,94.0,22.917503774023235
reference,95.0,22.91764283859983
reference,96.0,22.917768709786625
reference,97.0,22.9178826393132
reference,98.0,22.917985760143207
reference,99.0,22.918079097744446
reference,100.0,22.91816358028916
reference,101.0,22.91824004788628
reference,102.0,22.918309260937423
reference,103.0,22.918371907699957
reference,104.0,22.918428611132256
reference,105.0,22.918479935089405
reference,106.0,22.918526389930985
reference,107.0,22.918568437596697
reference,108.0,22.918606496200375
reference,109.0,22.918640944188088
reference,110.0,22.91867212410168
reference,111.0,22.918700345985258
reference,112.0,22.918725890468387
reference,113.0,22.918749011556834
reference,114.0,22.91876993915844
reference,115.0,22.91878888136941
reference,116.0,22.91880602654365
reference,117.0,22.918821545165766
reference,118.0,22.91883559154638
reference,119.0,22.91884830535659
reference,120.0,22.918859813016844
coarser,0.0,0.0
coarser,1.0,0.7051990647922816
coarser,2.0,1.3838796567568026
coarser,3.0,2.0373279712221555
coarser,4.0,2.6667499437961983
coarser,5.0,3.2732774393500543
coarser,6.0,3.8579738749473527
coarser,7.0,4.421839336338203
coarser,8.0,4.965815240555569
coarser,9.0,5.4907885910037635
coarser,10.0,5.99759586607971
coarser,11.0,6.48702657770356
coarser,12.0,6.959826532059964
coarser,13.0,7.416700821283261
coarser,14.0,7.858316571689748
coarser,15.0,8.285305471409108
coarser,16.0,8.698266097844492
coarser,17.0,9.097766063253772
coarser,18.0,9.484343994856017
coarser,19.0,9.858511364195556
coarser,20.0,10.220754179013833
coarser,21.0,10.571534549562974
coarser,22.0,10.9112921401241
coarser,23.0,11.240445515450466
coarser,24.0,11.559393390924924
coarser,25.0,11.86851579438987
coarser,26.0,12.168175146863911
coarser,27.0,12.458717268693102
coarser,28.0,12.740472317086654
coarser,29.0,13.013755660449883
coarser,30.0,13.278868694444137
coarser,31.0,13.536099604268164
coarser,32.0,13.78572407726329
coarser,33.0,14.02800596959036
coarser,34.0,14.263197930406493
coarser,35.0,14.491541986679863
coarser,36.0,14.71327009151847
coarser,37.0,14.928604638650885
coarser,38.0,15.137758945480883
coarser,39.0,15.340937706941709
coarser,40.0,15.538337422197069
coarser,41.0,15.730146796073392
coarser,42.0,15.916547116959674
coarser,43.0,16.097712612776064
coarser,44.0,16.273810786488845
coarser,45.0,16.445002732536604
coarser,46.0,16.611443435429194
coarser,47.0,16.7732820516865
coarser,48.0,16.9306621761974
coarser,49.0,17.08372209399993
coarser,50.0,17.232595018410542
coarser,51.0,17.37740931636355
coarser,52.0,17.51828872176004
coarser,53.0,17.655352537568998
coarser,54.0,17.788715827371004
coarser,55.0,17.91848959698699
coarser,56.0,18.04478096678984
coarser,57.0,18.167693335256025
coarser,58.0,18.287326534276303
coarser,59.0,18.403776976709857
coarser,60.0,18.517137796633612
coarser,61.0,18.62749898270886
coarser,62.0,18.734947505059328
coarser,63.0,18.83956743602934
coarser,64.0,18.94144006516684
coarser,65.0,19.040644008753873
coarser,66.0,19.137255314186827
coarser,67.0,19.231347559489382
coarser,68.0,19.322991948223635
coarser,69.0,19.41225740004831
coarser,70.0,19.499210637157578
coarser,71.0,19.58391626681982
coarser,72.0,19.666436860222273
coarser,73.0,19.746833027815185
coarser,74.0,19.8251634913375
coarser,75.0,19.901485152695177
coarser,76.0,19.97585315985347
coarser,77.0,20.048320969894707
coarser,78.0,20.118940409384564
coarser,79.0,20.18776173218157
coarser,80.0,20.254833674816688
coarser,81.0,20.320203509562873
coarser,82.0,20.383917095307602
coarser,83.0,20.446018926335004
coarser,84.0,20.506552179118458
coarser,85.0,20.56555875721878
coarser,86.0,20.623079334378076
coarser,87.0,20.67915339589426
coarser,88.0,20.733819278356812
coarser,89.0,20.787114207819897
coarser,90.0,20.839074336485012
coarser,91.0,20.88973477796135
coarser,92.0,20.939129641168766
coarser,93.0,20.987292062944434
coarser,94.0,21.03425423941157
coarser,95.0,21.0800474561652
coarser,96.0,21.124702117327345
coarser,97.0,21.168247773521337
coarser,98.0,21.21071314881231
coarser,99.0,21.25212616665877
coarser,100.0,21.292513974917664
